# wavelength, Lum, Lum_error
3678.2241, 2.525547305e+25, 1.061698387e+24
3678.2854, 2.520991875e+25, 1.059836029e+24
3678.3468, 2.516436370e+25, 1.057978225e+24
3678.4081, 2.511880788e+25, 1.056125001e+24
3678.4695, 2.507325130e+25, 1.054276381e+24
3678.5308, 2.502769396e+25, 1.052432390e+24
3678.5922, 2.498213587e+25, 1.050593052e+24
3678.6535, 2.493657701e+25, 1.048758392e+24
3678.7149, 2.489101740e+25, 1.046928436e+24
3678.7762, 2.485729774e+25, 1.046054733e+24
3678.8376, 2.483720627e+25, 1.046277727e+24
3678.8989, 2.481711446e+25, 1.046501030e+24
3678.9603, 2.479702231e+25, 1.046724641e+24
3679.0217, 2.477692983e+25, 1.046948561e+24
3679.0830, 2.475683701e+25, 1.047172789e+24
3679.1444, 2.473674386e+25, 1.047397324e+24
3679.2057, 2.471665038e+25, 1.047622168e+24
3679.2671, 2.469655655e+25, 1.047847319e+24
3679.3285, 2.467646240e+25, 1.048072777e+24
3679.3898, 2.465636791e+25, 1.048298543e+24
3679.4512, 2.463627308e+25, 1.048524615e+24
3679.5126, 2.461617792e+25, 1.048750995e+24
3679.5739, 2.459608242e+25, 1.048977681e+24
3679.6353, 2.458584868e+25, 1.049074368e+24
3679.6967, 2.458069679e+25, 1.049104637e+24
3679.7580, 2.457554480e+25, 1.049135720e+24
3679.8194, 2.457039274e+25, 1.049167618e+24
3679.8808, 2.456524058e+25, 1.049200331e+24
3679.9422, 2.456008835e+25, 1.049233858e+24
3680.0035, 2.455493602e+25, 1.049268200e+24
3680.0649, 2.454978361e+25, 1.049303356e+24
3680.1263, 2.454463111e+25, 1.049339326e+24
3680.1877, 2.453947853e+25, 1.049376111e+24
3680.2490, 2.453432586e+25, 1.049413710e+24
3680.3104, 2.452917311e+25, 1.049452123e+24
3680.3718, 2.452402027e+25, 1.049491351e+24
3680.4332, 2.451886734e+25, 1.049531393e+24
3680.4946, 2.447153656e+25, 1.048540439e+24
3680.5560, 2.441695120e+25, 1.047372530e+24
3680.6173, 2.436236493e+25, 1.046205092e+24
3680.6787, 2.430777774e+25, 1.045038126e+24
3680.7401, 2.425318965e+25, 1.043871635e+24
3680.8015, 2.419860065e+25, 1.042705620e+24
3680.8629, 2.414401074e+25, 1.041540082e+24
3680.9243, 2.408941991e+25, 1.040375023e+24
3680.9857, 2.403482818e+25, 1.039210446e+24
3681.0471, 2.398023553e+25, 1.038046351e+24
3681.1085, 2.392564198e+25, 1.036882740e+24
3681.1699, 2.387104751e+25, 1.035719616e+24
3681.2313, 2.381645213e+25, 1.034556980e+24
3681.2927, 2.376337004e+25, 1.033500325e+24
3681.3541, 2.374023361e+25, 1.034530332e+24
3681.4155, 2.371709679e+25, 1.035560558e+24
3681.4769, 2.369395959e+25, 1.036591002e+24
3681.5383, 2.367082200e+25, 1.037621663e+24
3681.5997, 2.364768402e+25, 1.038652542e+24
3681.6611, 2.362454566e+25, 1.039683636e+24
3681.7225, 2.360140692e+25, 1.040714947e+24
3681.7839, 2.357826778e+25, 1.041746473e+24
3681.8453, 2.355512826e+25, 1.042778213e+24
3681.9067, 2.353198836e+25, 1.043810167e+24
3681.9681, 2.350884807e+25, 1.044842335e+24
3682.0295, 2.348570739e+25, 1.045874715e+24
3682.0909, 2.346256633e+25, 1.046907308e+24
3682.1523, 2.347106340e+25, 1.047606971e+24
3682.2137, 2.357904219e+25, 1.047259254e+24
3682.2751, 2.368702279e+25, 1.046911592e+24
3682.3366, 2.379500518e+25, 1.046563985e+24
3682.3980, 2.390298938e+25, 1.046216434e+24
3682.4594, 2.401097538e+25, 1.045868938e+24
3682.5208, 2.411896317e+25, 1.045521498e+24
3682.5822, 2.422695277e+25, 1.045174113e+24
3682.6436, 2.433494417e+25, 1.044826784e+24
3682.7051, 2.444293737e+25, 1.044479511e+24
