# wavelength, Lum, Lum_error
3667.8712, 4.529927609e+25, 1.866321996e+24
3667.9323, 4.518542306e+25, 1.864857629e+24
3667.9935, 4.507156812e+25, 1.863393512e+24
3668.0547, 4.495771129e+25, 1.861929646e+24
3668.1159, 4.484385256e+25, 1.860466031e+24
3668.1770, 4.472999193e+25, 1.859002669e+24
3668.2382, 4.461612940e+25, 1.857539561e+24
3668.2994, 4.450226497e+25, 1.856076706e+24
3668.3606, 4.438839864e+25, 1.854614105e+24
3668.4218, 4.427453041e+25, 1.853151759e+24
3668.4829, 4.416066029e+25, 1.851689670e+24
3668.5441, 4.404678826e+25, 1.850227837e+24
3668.6053, 4.396073699e+25, 1.848904997e+24
3668.6665, 4.404912728e+25, 1.848453080e+24
3668.7277, 4.413751905e+25, 1.848002865e+24
3668.7889, 4.422591229e+25, 1.847554353e+24
3668.8501, 4.431430701e+25, 1.847107546e+24
3668.9113, 4.440270320e+25, 1.846662444e+24
3668.9724, 4.449110087e+25, 1.846219049e+24
3669.0336, 4.457950001e+25, 1.845777362e+24
3669.0948, 4.466790062e+25, 1.845337385e+24
3669.1560, 4.475630271e+25, 1.844899119e+24
3669.2172, 4.484470627e+25, 1.844462566e+24
3669.2784, 4.493311131e+25, 1.844027725e+24
3669.3396, 4.502151782e+25, 1.843594600e+24
3669.4008, 4.510992581e+25, 1.843163191e+24
3669.4620, 4.513225102e+25, 1.841761451e+24
3669.5232, 4.502061269e+25, 1.838393205e+24
3669.5844, 4.490897250e+25, 1.835030105e+24
3669.6456, 4.479733045e+25, 1.831672178e+24
3669.7068, 4.468568653e+25, 1.828319455e+24
3669.7680, 4.457404076e+25, 1.824971965e+24
3669.8292, 4.446239312e+25, 1.821629736e+24
3669.8904, 4.435074362e+25, 1.818292799e+24
3669.9516, 4.423909226e+25, 1.814961184e+24
3670.0129, 4.412743903e+25, 1.811634919e+24
3670.0741, 4.401578394e+25, 1.808314036e+24
3670.1353, 4.390412699e+25, 1.804998565e+24
3670.1965, 4.379246818e+25, 1.801688536e+24
3670.2577, 4.368080751e+25, 1.798383979e+24
3670.3189, 4.348789056e+25, 1.795030250e+24
3670.3801, 4.322135837e+25, 1.791628878e+24
3670.4413, 4.295482174e+25, 1.788228270e+24
3670.5026, 4.268828066e+25, 1.784828429e+24
3670.5638, 4.242173513e+25, 1.781429362e+24
3670.6250, 4.215518516e+25, 1.778031072e+24
3670.6862, 4.188863075e+25, 1.774633564e+24
3670.7474, 4.162207189e+25, 1.771236844e+24
3670.8087, 4.135550858e+25, 1.767840916e+24
3670.8699, 4.108894083e+25, 1.764445785e+24
3670.9311, 4.082236863e+25, 1.761051457e+24
3670.9923, 4.055579198e+25, 1.757657935e+24
3671.0536, 4.028921089e+25, 1.754265226e+24
3671.1148, 4.002262536e+25, 1.750873334e+24
3671.1760, 4.003423233e+25, 1.752065494e+24
3671.2372, 4.015460831e+25, 1.755052166e+24
3671.2985, 4.027498630e+25, 1.758041701e+24
3671.3597, 4.039536629e+25, 1.761034084e+24
3671.4209, 4.051574829e+25, 1.764029301e+24
3671.4822, 4.063613230e+25, 1.767027339e+24
3671.5434, 4.075651831e+25, 1.770028184e+24
3671.6046, 4.087690634e+25, 1.773031821e+24
3671.6659, 4.099729637e+25, 1.776038236e+24
3671.7271, 4.111768841e+25, 1.779047417e+24
3671.7884, 4.123808246e+25, 1.782059349e+24
3671.8496, 4.135847851e+25, 1.785074019e+24
3671.9108, 4.147887657e+25, 1.788091414e+24
3671.9721, 4.159927665e+25, 1.791111519e+24
3672.0333, 4.185054217e+25, 1.793053708e+24
3672.0946, 4.211426988e+25, 1.794894245e+24
3672.1558, 4.237800200e+25, 1.796735932e+24
3672.2171, 4.264173851e+25, 1.798578767e+24
3672.2783, 4.290547942e+25, 1.800422745e+24
3672.3395, 4.316922473e+25, 1.802267864e+24
3672.4008, 4.343297444e+25, 1.804114120e+24
3672.4620, 4.369672855e+25, 1.805961509e+24
3672.5233, 4.396048706e+25, 1.807810029e+24
3672.5845, 4.422424996e+25, 1.809659675e+24
3672.6458, 4.448801727e+25, 1.811510446e+24
3672.7071, 4.475178897e+25, 1.813362337e+24
3672.7683, 4.501556508e+25, 1.815215345e+24
3672.8296, 4.523391795e+25, 1.816620280e+24
3672.8908, 4.507372397e+25, 1.814282880e+24
3672.9521, 4.491352732e+25, 1.811945894e+24
3673.0133, 4.475332800e+25, 1.809609325e+24
3673.0746, 4.459312601e+25, 1.807273174e+24
3673.1359, 4.443292134e+25, 1.804937443e+24
3673.1971, 4.427271400e+25, 1.802602134e+24
3673.2584, 4.411250399e+25, 1.800267249e+24
3673.3196, 4.395229131e+25, 1.797932790e+24
3673.3809, 4.379207596e+25, 1.795598758e+24
3673.4422, 4.363185793e+25, 1.793265155e+24
3673.5034, 4.347163723e+25, 1.790931984e+24
3673.5647, 4.331141386e+25, 1.788599245e+24
3673.6260, 4.315118782e+25, 1.786266941e+24
3673.6873, 4.297601643e+25, 1.783556830e+24
3673.7485, 4.276616260e+25, 1.779969219e+24
3673.8098, 4.255630528e+25, 1.776381892e+24
3673.8711, 4.234644446e+25, 1.772794850e+24
3673.9323, 4.213658014e+25, 1.769208096e+24
3673.9936, 4.192671232e+25, 1.765621632e+24
3674.0549, 4.171684100e+25, 1.762035461e+24
3674.1162, 4.150696617e+25, 1.758449583e+24
3674.1774, 4.129708785e+25, 1.754864002e+24
3674.2387, 4.108720603e+25, 1.751278719e+24
3674.3000, 4.087732070e+25, 1.747693737e+24
3674.3613, 4.066743188e+25, 1.744109058e+24
3674.4226, 4.045753956e+25, 1.740524685e+24
3674.4839, 4.024764373e+25, 1.736940619e+24
3674.5451, 4.015715342e+25, 1.734843388e+24
3674.6064, 4.018846965e+25, 1.734263392e+24
3674.6677, 4.021978640e+25, 1.733684437e+24
3674.7290, 4.025110367e+25, 1.733106525e+24
3674.7903, 4.028242146e+25, 1.732529656e+24
3674.8516, 4.031373978e+25, 1.731953832e+24
3674.9129, 4.034505862e+25, 1.731379054e+24
3674.9742, 4.037637798e+25, 1.730805323e+24
3675.0354, 4.040769787e+25, 1.730232639e+24
3675.0967, 4.043901827e+25, 1.729661005e+24
3675.1580, 4.047033920e+25, 1.729090421e+24
3675.2193, 4.050166065e+25, 1.728520888e+24
3675.2806, 4.053298263e+25, 1.727952408e+24
3675.3419, 4.056430512e+25, 1.727384981e+24
3675.4032, 4.065850205e+25, 1.727112800e+24
3675.4645, 4.078110147e+25, 1.726973965e+24
3675.5258, 4.090370294e+25, 1.726835477e+24
3675.5871, 4.102630645e+25, 1.726697334e+24
3675.6484, 4.114891201e+25, 1.726559538e+24
3675.7097, 4.127151961e+25, 1.726422089e+24
3675.7710, 4.139412926e+25, 1.726284987e+24
3675.8323, 4.151674095e+25, 1.726148231e+24
3675.8937, 4.163935469e+25, 1.726011822e+24
3675.9550, 4.176197047e+25, 1.725875761e+24
