ra, dec, MJD, MANGAID, Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
164.75900,+010.46694,57830,3-113585414,csv,4.659999999863371,G5,+0.0,nan,nan
164.75900,+010.46694,57821,3-113585414,csv,-12.766666666292338,K7,+0.5,nan,nan
164.90328,+048.62494,57876,3-141476998,csv,-10.286666666365063,G8,+0.0,nan,nan
164.90328,+048.62494,57887,3-141476998,csv,-1.7266666666160477,K3,-1.0,nan,nan
165.11821,+048.83422,57876,3-141476990,csv,-8.274999999757378,K3,-1.0,nan,nan
165.11821,+048.83422,57883,3-141476990,csv,-1.1183333333005505,K2,+0.5,nan,nan
176.62262,+001.35084,57058,4-19883,csv,-7.669999999775114,G8,-0.5,nan,nan
176.62262,+001.35084,57119,4-19883,csv,3.9249999998849243,G5,-0.5,nan,nan
176.62262,+001.35084,57168,4-19883,csv,20.347499999403418,G5,+0.0,nan,nan
176.62262,+001.35084,57171,4-19883,csv,-4.61999999986454,G3,+0.0,nan,nan
176.62262,+001.35084,57417,4-19883,csv,9.04999999973465,G0,-0.5,nan,nan
176.86919,+002.26249,57171,4-19357,csv,-28.571666665828946,M2,+1.0,nan,nan
176.89329,+002.21932,57057,27-1864,csv,-8.43999999975254,G9,-1.5,nan,nan
176.89329,+002.21932,57358,27-1864,csv,-12.97999999961942,F9,+0.0,nan,nan
176.89329,+002.21932,57390,27-1864,csv,11.497499999662885,G0,-0.5,nan,nan
176.89329,+002.21932,57002,27-1864,csv,-4.548333333199973,G3,+0.0,nan,nan
176.89329,+002.21932,57117,27-1864,csv,2.8649999999159927,G6,-1.5,nan,nan
176.98634,+000.49227,57058,4-19845,csv,-6.439999999811192,F6,-0.5,nan,nan
176.98634,+000.49227,57171,4-19845,csv,12.236666666307881,F7,+0.0,nan,nan
176.98634,+000.49227,57417,4-19845,csv,-1.3833333332927864,G4,-0.5,nan,nan
177.14002,+001.48314,57358,27-1853,csv,-13.001666666285452,K7,-0.5,nan,nan
177.14002,+001.48314,57390,27-1853,csv,3.0183333332448328,K3,-2.0,nan,nan
177.14002,+001.48314,57002,27-1853,csv,2.6549999999221594,K5,-0.5,nan,nan
177.24667,+000.02948,57448,3-108837212,csv,-31.29999999908229,F1,-1.5,nan,nan
177.24667,+000.02948,57471,3-108837212,csv,23.043333332657696,A6,+0.0,nan,nan
177.36723,+002.12001,57119,4-19555,csv,-1.967499999942313,M0,-0.5,nan,nan
177.53376,+001.36840,57445,3-108989573,csv,-7.927499999767565,A6,+0.0,nan,nan
177.53376,+001.36840,57448,3-108989573,csv,-10.733333333018628,F7,+0.0,nan,nan
177.53376,+001.36840,57471,3-108989573,csv,-1.4083333332920318,F7,+0.0,nan,nan
177.75530,+002.13837,57119,4-20180,csv,-11.767499999654984,F4,-0.5,nan,nan
177.75530,+002.13837,57171,4-20180,csv,-1.9299999999434232,F4,-0.5,nan,nan
178.12389,+000.25074,57390,27-1869,csv,7.783333333105124,K4,+0.5,nan,nan
178.12389,+000.25074,57002,27-1869,csv,3.093333333242637,K4,-1.0,nan,nan
178.16928,+035.14145,57469,3-119107817,csv,-4.788333333192942,K1,+0.5,nan,nan
178.16928,+035.14145,57492,3-119107817,csv,-2.9233333332476263,K2,+0.5,nan,nan
178.17214,+000.68179,57171,4-19382,csv,-22.836666665997097,M2,+1.0,nan,nan
178.17214,+000.68179,57417,4-19382,csv,41.111666665461264,A2,+0.0,nan,nan
178.18793,+001.09910,57168,4-19390,csv,3.004999999911901,A2,+0.0,nan,nan
178.18793,+001.09910,57171,4-19390,csv,133.13333332942986,A2,+0.0,nan,nan
179.08373,+034.70895,57416,3-118387003,csv,-6.151666666486311,F4,-0.5,nan,nan
179.08373,+034.70895,57468,3-118387003,csv,2.2199999999349136,F3,+0.0,nan,nan
179.08373,+034.70895,57474,3-118387003,csv,4.384999999871418,F2,-0.5,nan,nan
179.21537,+018.78220,57502,3-112133641,csv,-4.631666666530859,G1,+0.0,nan,nan
179.21537,+018.78220,57532,3-112133641,csv,-0.7716666666440348,K3,+0.5,nan,nan
179.21537,+018.78220,57800,3-112133641,csv,-2.008333333274455,K2,+0.5,nan,nan
179.21537,+018.78220,57829,3-112133641,csv,-1.5316666666217607,K3,+0.5,nan,nan
179.21537,+018.78220,57832,3-112133641,csv,5.547499999837351,G0,-0.5,nan,nan
190.06233,-003.34735,57473,3-109232372,csv,-2.029999999940478,F4,-1.5,nan,nan
190.06233,-003.34735,57447,3-109232372,csv,-5.991666666490988,F6,-1.5,nan,nan
190.06233,-003.34735,57450,3-109232372,csv,-62.06166666484703,F4,-1.5,nan,nan
190.99932,-003.46924,57473,3-109319870,csv,-9.724999999714871,G4,-0.5,nan,nan
190.99932,-003.46924,57447,3-109319870,csv,-14.661666666236792,G5,-0.5,nan,nan
190.99932,-003.46924,57450,3-109319870,csv,-2.4533333332613965,G3,+0.0,nan,nan
191.10181,+012.82911,57059,4-20296,csv,10.441666666360527,K5,-2.0,nan,nan
191.10181,+012.82911,57062,4-20296,csv,3.8274999998877695,F4,-0.5,nan,nan
191.10181,+012.82911,57121,4-20296,csv,-2.29499999993271,F4,-0.5,nan,nan
191.10181,+012.82911,57064,4-20296,csv,-8.9049999997389,F7,+0.0,nan,nan
191.10181,+012.82911,57122,4-20296,csv,-7.6133333331101065,F6,-0.5,nan,nan
191.10181,+012.82911,57142,4-20296,csv,-0.3049999999910555,F4,-0.5,nan,nan
192.17003,-002.49910,57473,3-109638459,csv,-7.059999999792995,F9,+0.0,nan,nan
192.17003,-002.49910,57447,3-109638459,csv,-2.9833333332458554,F7,-1.0,nan,nan
192.17003,-002.49910,57450,3-109638459,csv,7.097499999791907,F9,+0.0,nan,nan
192.20830,-001.86805,57438,3-109734397,csv,-10.717499999685757,G5,-1.5,nan,nan
192.20830,-001.86805,57446,3-109734397,csv,0.8833333333074339,G6,-1.5,nan,nan
192.20830,-001.86805,57469,3-109734397,csv,-2.373333333263757,K3,-1.0,nan,nan
192.24812,+042.61968,57027,4-822,csv,-15.2999999995514,G4,-0.5,nan,nan
192.24812,+042.61968,57056,4-822,csv,-17.969999999473117,G4,-0.5,nan,nan
192.24812,+042.61968,57059,4-822,csv,-10.789999999683637,G5,-0.5,nan,nan
192.24812,+042.61968,57062,4-822,csv,-7.3299999997850875,G4,-0.5,nan,nan
