# wavelength, Lumniosty[W/AA], Error
3.722202499999999873e+03,8.037291772814617477e+20,4.513581885993575219e+19
3.723059699999999793e+03,9.871472590138697318e+20,4.856758246449822106e+19
3.723917100000000119e+03,1.317730638525760799e+21,5.439851714207064883e+19
3.724774600000000191e+03,1.775066377439321784e+21,6.142683847231990170e+19
3.725632399999999961e+03,2.241787584572219195e+21,6.782750303008960512e+19
3.726490299999999934e+03,2.537235176487646134e+21,7.089374261889263206e+19
3.727348500000000058e+03,2.232278973645742932e+21,6.695573268772694426e+19
3.728206799999999930e+03,1.855920421849989906e+21,6.167761855377765171e+19
3.729065399999999954e+03,1.821181537336406311e+21,6.214058415280140288e+19
3.729924100000000180e+03,2.090975682052082369e+21,6.484611314208778650e+19
3.730783100000000104e+03,2.249866423218224497e+21,6.640832673976677990e+19
3.731642199999999775e+03,1.949494123793540710e+21,6.423720703983892070e+19
3.732501600000000053e+03,1.839477135388233957e+21,6.137870499506282496e+19
3.733361100000000079e+03,1.532968092210528518e+21,5.751140603570332467e+19
3.734220899999999801e+03,1.145350688546572075e+21,5.019476780283672986e+19
3.735080800000000181e+03,8.506218724906834330e+20,4.487285005989696307e+19
3.735940900000000056e+03,6.135362906838273884e+20,4.093195612382412800e+19
3.736801300000000083e+03,6.129585314049210450e+20,3.951990623638457549e+19
3.737661799999999857e+03,6.141913861762452029e+20,4.070109422420188365e+19
3.738522500000000036e+03,8.029529358188963430e+20,4.412286870013487514e+19
3.739383400000000165e+03,1.135159326000110109e+21,5.090046805577624781e+19
3.740244599999999991e+03,1.548611664060687319e+21,5.711944614531359539e+19
3.741105900000000020e+03,2.035251963597181420e+21,6.252223891871118131e+19
3.741967399999999998e+03,1.989139911534237450e+21,6.347254281263915008e+19
3.742829099999999926e+03,1.911713725587951714e+21,6.109393135262307123e+19
3.743690999999999804e+03,1.666337142942619927e+21,5.791061252117228749e+19
3.744553199999999833e+03,1.281439717560963039e+21,5.135606969077112013e+19
3.745415500000000065e+03,9.902962394959917875e+20,4.653728159132144435e+19
3.746277999999999793e+03,8.611475971617695990e+20,4.393268201131896832e+19
3.747140699999999924e+03,8.493376787266088468e+20,4.321578204949710438e+19
3.748003600000000006e+03,8.188854298325647360e+20,4.235586668059764326e+19
3.748866700000000037e+03,8.058435414628106240e+20,4.153238433364408730e+19
3.749730000000000018e+03,7.909342694007301734e+20,4.154520448138932224e+19
3.750593499999999949e+03,8.505216267772020654e+20,4.349571247857172480e+19
3.751457199999999830e+03,1.361207915420173206e+21,5.038463466942926029e+19
3.752321100000000115e+03,1.726375049565987144e+21,5.638920584381757850e+19
3.753185199999999895e+03,2.012374816729001361e+21,6.013382928718785741e+19
3.754049500000000080e+03,2.230863517116649701e+21,6.333497155538305843e+19
3.754914000000000215e+03,2.495874004837394285e+21,6.641641022936875827e+19
3.755778699999999844e+03,2.882293722470922322e+21,7.039790198501312922e+19
3.756643599999999878e+03,2.799919337570378449e+21,6.892256851302051021e+19
3.757508699999999862e+03,2.352352951305209381e+21,6.326359499846267699e+19
3.758373999999999796e+03,1.666329372489273311e+21,5.402596261042674893e+19
3.759239500000000135e+03,1.252835552244011106e+21,4.962560879667283558e+19
3.760105199999999968e+03,1.389754081614525104e+21,5.024944927072785203e+19
3.760971100000000206e+03,1.724085090417206100e+21,5.514607113040565043e+19
3.761837199999999939e+03,2.040728443272345682e+21,5.922651591621242880e+19
3.762703500000000076e+03,2.190630987533298696e+21,6.024332568324875878e+19
3.763570000000000164e+03,1.911534455583395283e+21,5.662129424987445658e+19
3.764436700000000201e+03,1.594002431226961461e+21,5.367166025131993498e+19
3.765303600000000188e+03,1.676048845569850081e+21,5.401602723350116762e+19
3.766170700000000124e+03,1.792695264980952678e+21,5.498587005097777562e+19
3.767038000000000011e+03,1.736713351444822229e+21,5.401744537750880256e+19
3.767905499999999847e+03,1.703474633055420285e+21,5.376904890528703283e+19
3.768773200000000088e+03,2.053577618308259906e+21,5.814865856082822758e+19
3.769641099999999824e+03,2.642273016388748575e+21,6.411592204361311846e+19
3.770509199999999964e+03,3.046534666988745130e+21,7.960073472304483533e+19
3.771377500000000055e+03,3.297824884939255972e+21,8.265587242327238246e+19
