# wavelength, Lumniosty[W/AA], Error
3.781812600000000202e+03,5.025722340128646103e+20,7.070111972232573747e+19
3.782683500000000095e+03,6.259258957298436669e+20,7.150320006947448422e+19
3.783554599999999937e+03,6.166017131086201487e+20,7.129892347793792205e+19
3.784425799999999981e+03,4.324851495304783462e+20,6.973019666550207283e+19
3.785297300000000178e+03,3.880291614082729902e+20,6.398258609700220109e+19
3.786168999999999869e+03,5.914600314988581356e+20,6.367305777951274598e+19
3.787040899999999965e+03,3.819739081772261704e+20,5.875721421440154010e+19
3.787913000000000011e+03,2.932787363384533647e+20,5.603563561253914214e+19
3.788785300000000007e+03,3.642083907472930898e+20,5.609531487572019610e+19
3.789657799999999952e+03,4.223714515859453379e+20,5.673231846949347328e+19
3.790530499999999847e+03,4.620452411608348754e+20,5.711807795768956518e+19
3.791403400000000147e+03,4.804873024062804460e+20,5.872593330480211558e+19
3.792276499999999942e+03,4.148641803940192584e+20,5.875787540808272282e+19
3.793149800000000141e+03,4.114548249584026255e+20,5.820914396789707571e+19
3.794023400000000038e+03,4.240809036654860698e+20,5.681504768789775974e+19
3.794897100000000137e+03,3.597485710482109891e+20,5.447467389827249766e+19
3.795771000000000186e+03,2.863765838350100398e+20,5.260070462628013670e+19
3.796645100000000184e+03,2.927130399941780111e+20,5.216882349630203494e+19
3.797519400000000132e+03,4.247781006727707361e+20,5.427077694454964224e+19
3.798393900000000031e+03,4.641581661659681915e+20,5.287256005755485389e+19
3.799268599999999878e+03,3.841597901238149448e+20,5.091623956253053747e+19
3.800143500000000131e+03,3.225732196692045988e+20,5.062751685561348096e+19
3.801018599999999878e+03,3.143918553831859814e+20,5.189188958454452224e+19
3.801893999999999778e+03,3.014915179118618214e+20,5.335826732675871539e+19
3.802769499999999880e+03,4.971105398315622728e+20,5.752139960100132454e+19
3.803645199999999932e+03,5.800870798885237555e+20,5.842031762058143334e+19
3.804521099999999933e+03,5.060377536084633846e+20,5.910327318200442880e+19
3.805397300000000087e+03,5.226144387078847201e+20,5.817369558232461312e+19
3.806273599999999988e+03,4.411211135741792092e+20,5.628191079064836506e+19
